date,equity,nav,peak,drawdown
2026-04-14,32.50616711,1.00000000,1.00000000,0.00000000
2026-04-15,32.50616711,1.00000000,1.00000000,0.00000000
2026-04-16,32.50616711,1.00000000,1.00000000,0.00000000
2026-04-17,32.49960351,0.99979808,1.00000000,0.00020192
2026-04-18,32.50045678,0.99982433,1.00000000,0.00017567
2026-04-19,32.12801727,0.98836682,1.00000000,0.01163318
2026-04-20,32.12441577,0.98825603,1.00000000,0.01174397
2026-04-21,32.11244531,0.98788778,1.00000000,0.01211222
2026-04-22,32.10962099,0.98780089,1.00000000,0.01219911
2026-04-23,32.10760093,0.98773875,1.00000000,0.01226125
2026-04-24,31.60221361,0.97219132,1.00000000,0.02780868
2026-04-25,31.60221361,0.97219132,1.00000000,0.02780868
2026-04-26,31.60221361,0.97219132,1.00000000,0.02780868
2026-04-27,31.60221361,0.97219132,1.00000000,0.02780868
2026-04-28,31.60221361,0.97219132,1.00000000,0.02780868
2026-04-29,31.60221361,0.97219132,1.00000000,0.02780868
2026-04-30,31.59753537,0.97204740,1.00000000,0.02795260
2026-05-01,31.59396981,0.97193771,1.00000000,0.02806229
2026-05-02,148.50454990,0.97279308,1.00000000,0.02720692
2026-05-03,149.09764418,0.97667820,1.00000000,0.02332180
2026-05-04,149.09764418,0.97667820,1.00000000,0.02332180
2026-05-05,149.09063357,0.97663228,1.00000000,0.02336772
2026-05-06,151.47921159,0.99227889,1.00000000,0.00772111
2026-05-07,151.47724743,0.99226602,1.00000000,0.00773398
2026-05-08,151.47553146,0.99225478,1.00000000,0.00774522
2026-05-09,151.66104848,0.99347003,1.00000000,0.00652997
2026-05-10,151.66107950,0.99347023,1.00000000,0.00652977
2026-05-11,151.67561371,0.99356544,1.00000000,0.00643456
2026-05-12,151.62553423,0.99323739,1.00000000,0.00676261
2026-05-13,151.63590019,0.99330529,1.00000000,0.00669471
2026-05-14,151.64784397,0.99338353,1.00000000,0.00661647
2026-05-15,153.51287990,1.00560062,1.00560062,0.00000000
2026-05-16,153.45863015,1.00524525,1.00560062,0.00035339
2026-05-17,153.47883020,1.00537758,1.00560062,0.00022179
2026-05-18,153.48740762,1.00543376,1.00560062,0.00016593
2026-05-19,153.50957215,1.00557895,1.00560062,0.00002154
2026-05-20,155.00352598,1.01536524,1.01536524,0.00000000
2026-05-21,155.75210860,1.02026890,1.02026890,0.00000000
2026-05-22,154.42967184,1.01160615,1.02026890,0.00849065
2026-05-23,154.41519811,1.01151134,1.02026890,0.00858358
2026-05-24,153.07086976,1.00270519,1.02026890,0.01721478
2026-05-25,153.07086976,1.00270519,1.02026890,0.01721478
2026-05-26,153.07086976,1.00270519,1.02026890,0.01721478
2026-05-27,153.07086976,1.00270519,1.02026890,0.01721478
2026-05-28,153.06973396,1.00269775,1.02026890,0.01722207
2026-05-29,153.16551070,1.00332515,1.02026890,0.01660714
2026-05-30,153.16732707,1.00333705,1.02026890,0.01659547
2026-05-31,155.61466593,1.01936857,1.02026890,0.00088244
2026-06-01,154.88248195,1.01457233,1.02026890,0.00558340
2026-06-02,155.06855954,1.01579125,1.02026890,0.00438869
2026-06-03,157.54687330,1.03202568,1.03202568,0.00000000
2026-06-04,157.54955818,1.03204327,1.03204327,0.00000000
2026-06-05,160.08834319,1.04867382,1.04867382,0.00000000
2026-06-06,161.93763492,1.06078778,1.06078778,0.00000000
2026-06-07,161.05995921,1.05503848,1.06078778,0.00541983
2026-06-08,161.04216210,1.05492190,1.06078778,0.00552973
2026-06-09,160.52733072,1.05154945,1.06078778,0.00870893
2026-06-10,160.50737212,1.05141870,1.06078778,0.00883219
2026-06-11,160.50242422,1.05138629,1.06078778,0.00886274
2026-06-12,157.30958335,1.03047129,1.06078778,0.02857922
2026-06-13,157.30958335,1.03047129,1.06078778,0.02857922
2026-06-14,157.30958335,1.03047129,1.06078778,0.02857922
2026-06-15,158.25284739,1.03665023,1.06078778,0.02275436
2026-06-16,158.24128048,1.03657446,1.06078778,0.02282579
2026-06-17,156.65908023,1.02621011,1.06078778,0.03259621
2026-06-18,155.80600079,1.02062193,1.06078778,0.03786417
